Primary ID,Temp Z1,Temp Z2,Temp Z3,Temp Z4,Temp Z5,Screw speed
Felodipine_N7_2,140,157,167,168,165,100
Felodipine_N8_1,140,150,169,167,160,25
Felodipine_N8_2,140,150,169,167,160,25
Felodipine_N9_1,140,157,167,168,165,100
Felodipine_N9_2,140,157,167,168,165,100
Felodipine_N10_1,140,157,167,168,165,100
Felodipine_N10_2,140,157,167,168,165,100
Felodipine_N11_1,140,160,165,168,167,50
Felodipine_N11_2,140,160,165,168,167,50
Simvastatine_N1_1,98,135,155,171,171,43
Simvastatine_N1_2,98,135,155,171,171,43
Simvastatine_N2_1,105,130,155,169,169,40
Simvastatine_N2_2,105,130,155,169,169,40
Simvastatine_N3_1,108,138,155,171,171,30
Simvastatine_N3_2,108,138,155,171,171,30
Simvastatine_N4_1,95,115,140,171,171,90
Simvastatine_N4_2,95,115,140,171,171,90
Simvastatine_N5_1,95,115,140,170,170,60
Simvastatine_N5_2,95,115,140,170,170,60
Simvastatine_N6_1,108,138,155,171,171,25
Simvastatine_N6_2,108,138,155,171,171,25
Simvastatine_N7_1,95,115,140,173,173,75
Simvastatine_N7_2,95,115,140,173,173,75
Simvastatine_N8_1,95,115,140,168,168,35
Simvastatine_N8_2,95,115,140,168,168,35
Simvastatine_N9_1,105,136,153,168,168,20
Simvastatine_N9_2,105,136,153,168,168,20
Simvastatine_N10_1,108,138,150,172,172,45
Simvastatine_N10_2,108,138,150,172,172,45
Simvastatine_N11_1,108,138,150,172,172,35
Simvastatine_N11_2,108,138,150,172,172,35
Carvedilol_N1_1,90,142,157,158,158,25
Carvedilol_N1_2,90,142,157,158,158,25
Carvedilol_N2_1,85,140,160,170,170,25
Carvedilol_N2_2,85,140,160,170,170,25
Carvedilol_N4_1,100,140,145,160,161,30
Carvedilol_N4_2,100,140,145,160,161,30
Carvedilol_N5_1,90,145,160,164,164,25
Carvedilol_N5_2,90,145,160,164,164,25
Carvedilol_N6_1,130,170,177,177,162,20
Carvedilol_N6_2,130,170,177,177,162,20
Carvedilol_N7_1,100,130,157,160,160,30
Carvedilol_N7_2,100,130,157,160,160,30
Carvedilol_N8_1,100,140,160,160,160,35
Carvedilol_N8_2,100,140,160,160,160,35
Carvedilol_N10_1,120,150,165,165,163,25
Carvedilol_N10_2,120,150,165,165,163,25
Carvedilol_N11_1,120,150,165,165,163,25
Carvedilol_N11_2,120,150,165,165,163,25
Aciclovir_N1_1,135,145,150,155,163,50
Aciclovir_N1_2,135,145,150,155,163,50
Aciclovir_N2_1,135,145,155,160,165,30
Aciclovir_N2_2,135,145,155,160,165,30
Aciclovir_N3_1,135,145,150,155,162,30
Aciclovir_N3_2,135,145,150,155,162,30
Aciclovir_N4_1,135,145,160,160,165,45
Aciclovir_N4_2,135,145,160,160,165,45
Aciclovir_N5_1,135,145,150,155,160,30
Aciclovir_N5_2,135,145,150,155,160,30
Aciclovir_N6_1,135,145,150,155,160,40
Aciclovir_N6_2,135,145,150,155,160,40
Aciclovir_N7_1,135,145,150,155,160,30
Aciclovir_N7_2,135,145,150,155,160,30
Aciclovir_N8_1,135,145,160,160,165,35
Aciclovir_N8_2,135,145,160,160,165,35
Aciclovir_N9_1,135,145,150,150,155,100
Aciclovir_N9_2,135,145,150,150,155,100
Aciclovir_N10_1,135,145,150,155,160,30
Aciclovir_N10_2,135,145,150,155,160,30
Aciclovir_N11_1,135,145,150,155,160,30
Aciclovir_N11_2,135,145,150,155,160,30
Hidroclorotiazida_N1_1,135,150,165,173,173,30
Hidroclorotiazida_N1_2,135,150,165,173,173,30
Hidroclorotiazida_N2_1,135,147,162,170,167,30
Hidroclorotiazida_N2_2,135,147,162,170,167,30
Hidroclorotiazida_N3_1,135,145,160,175,170,45
Hidroclorotiazida_N3_2,135,145,160,175,170,45
Hidroclorotiazida_N4_1,135,135,150,160,160,30
Hidroclorotiazida_N4_2,135,135,150,160,160,30
Hidroclorotiazida_N5_1,135,140,155,165,165,30
Hidroclorotiazida_N5_2,135,140,155,165,165,30
Hidroclorotiazida_N6_1,135,142,155,163,163,43
Hidroclorotiazida_N6_2,135,142,155,163,163,43
Hidroclorotiazida_N7_1,135,135,150,155,153,30
Hidroclorotiazida_N7_2,135,135,150,155,153,30
Hidroclorotiazida_N8_1,135,140,155,156,156,100
Hidroclorotiazida_N8_2,135,140,155,156,156,100
Hidroclorotiazida_N9_1,135,145,150,150,155,45
Hidroclorotiazida_N9_2,135,145,150,150,155,45
Hidroclorotiazida_N10_1,135,142,155,163,163,43
Hidroclorotiazida_N10_2,135,142,155,163,163,43
Hidroclorotiazida_N11_1,135,145,155,160,160,45
Hidroclorotiazida_N11_2,135,145,155,160,160,45
Acetazolamida_N1_1,140,150,160,165,170,30
Acetazolamida_N1_2,140,150,160,165,170,30
Acetazolamida_N2_1,140,145,150,150,155,20
Acetazolamida_N2_2,140,145,150,150,155,20
Acetazolamida_N3_1,135,145,150,160,165,43
Acetazolamida_N3_2,135,145,150,160,165,43
Acetazolamida_N4_1,135,145,150,155,160,15
Acetazolamida_N4_2,135,145,150,155,160,15
Acetazolamida_N5_1,135,140,140,145,145,35
Acetazolamida_N5_2,135,140,140,145,145,35
Acetazolamida_N6_1,130,135,135,135,140,60
Acetazolamida_N6_2,130,135,135,135,140,60
Acetazolamida_N7_1,140,150,155,160,160,35
Acetazolamida_N7_2,140,150,155,160,160,35
Acetazolamida_N8_1,135,143,146,150,153,36
Acetazolamida_N8_2,135,143,146,150,153,36
Acetazolamida_N9_1,130,135,140,140,145,50
Acetazolamida_N9_2,130,135,140,140,145,50
Acetazolamida_N10_1,135,140,140,145,145,35
Acetazolamida_N10_2,135,140,140,145,145,35
Acetazolamida_N11_1,135,140,140,145,145,35
Acetazolamida_N11_2,135,140,140,145,145,35
Spironolactona_N1_1,130,130,135,135,140,20
Spironolactona_N1_2,130,130,135,135,140,20
Spironolactona_N8_1,110,115,120,130,132,50
Spironolactona_N8_2,110,115,120,130,132,50
Cafeina_N2_1,145,150,160,170,170,30
Cafeina_N2_2,145,150,160,170,170,30
Cafeina_N5_1,145,150,155,155,160,30
Cafeina_N5_2,145,150,155,155,160,30
Cafeina_N9_1,145,150,155,155,155,30
Cafeina_N9_2,145,150,155,155,155,30
Metronidazole_N1_1,125,135,145,155,165,30
Metronidazole_N1_2,125,135,145,155,165,30
Metronidazole_N2_1,125,135,145,151,152,30
Metronidazole_N2_2,125,135,145,151,152,30
Metronidazole_N3_1,125,135,145,150,150,30
Metronidazole_N3_2,125,135,145,150,150,30
Metronidazole_N4_1,135,145,150,155,160,30
Metronidazole_N4_2,135,145,150,155,160,30
Metronidazole_N5_1,125,135,145,150,150,30
Metronidazole_N5_2,125,135,145,150,150,30
Metronidazole_N6_1,125,135,145,150,155,30
Metronidazole_N6_2,125,135,145,150,155,30
Metronidazole_N7_1,125,135,145,148,153,30
Metronidazole_N7_2,125,135,145,148,153,30
Metronidazole_N8_1,135,135,140,147,152,30
Metronidazole_N8_2,135,135,140,147,152,15
Metronidazole_N9_1,125,135,140,143,145,15
Metronidazole_N9_2,125,135,140,143,145,30
Metronidazole_N10_1,125,135,145,150,150,30
Metronidazole_N10_2,125,135,145,150,150,30
Metronidazole_N11_1,125,135,145,150,150,30
Metronidazole_N11_2,125,135,145,150,150,30
Atenolol_N1_1,110,135,145,158,168,30
Atenolol_N1_2,110,135,145,158,168,30
Atenolol_N2_1,110,145,150,165,170,35
Atenolol_N2_2,110,145,150,165,170,35
Atenolol_N3_1,110,145,155,168,170,30
Atenolol_N3_2,110,145,155,168,170,30
Atenolol_N4_1,110,145,155,165,168,30
Atenolol_N4_2,110,145,155,165,168,30
Atenolol_N5_1,110,140,145,155,165,30
Atenolol_N5_2,110,140,145,155,165,30
Atenolol_N6_1,110,145,155,160,160,40
Atenolol_N6_2,110,145,155,160,160,40
Atenolol_N7_1,110,140,145,155,160,30
Atenolol_N7_2,110,140,145,155,160,30
Atenolol_N8_1,110,145,150,155,160,30
Atenolol_N8_2,110,145,150,155,160,30
Atenolol_N9_1,110,140,150,155,155,30
Atenolol_N9_2,110,140,150,155,155,30
Atenolol_N10_1,110,140,145,155,165,30
Atenolol_N10_2,110,140,145,155,165,30
Atenolol_N11_1,110,140,145,155,165,30
Atenolol_N11_2,110,140,145,155,165,30
Diclofenac_N2_1,135,150,165,170,170,25
Diclofenac_N2_2,135,150,165,170,170,25
Diclofenac_N4_1,135,150,160,165,165,30
Diclofenac_N4_2,135,150,160,165,165,30
Diclofenac_N5_1,135,150,155,160,160,25
Diclofenac_N5_2,135,150,155,160,160,25
