Primary ID,Printlet weight
Carvedilol_N10_1,173.74
Carvedilol_N10_2,181.27
Carvedilol_N11_1,175.14
Carvedilol_N11_2,171.07
Aciclovir_N1_1,179.0
Aciclovir_N1_2,181.0
Aciclovir_N2_1,163.0
Aciclovir_N2_2,167.0
Aciclovir_N3_1,169.0
Aciclovir_N3_2,170.0
Aciclovir_N4_1,165.0
Aciclovir_N4_2,163.0
Aciclovir_N5_1,160.0
Aciclovir_N5_2,162.0
Aciclovir_N6_1,163.0
Aciclovir_N6_2,165.0
Aciclovir_N7_1,165.0
Aciclovir_N7_2,167.0
Aciclovir_N8_1,185.0
Aciclovir_N8_2,187.0
Aciclovir_N9_1,194.0
Aciclovir_N9_2,193.0
Aciclovir_N10_1,180.0
Aciclovir_N10_2,175.0
Aciclovir_N11_1,180.0
Aciclovir_N11_2,175.0
Hidroclorotiazida_N1_1,168.0
Hidroclorotiazida_N1_2,168.0
Hidroclorotiazida_N2_1,164.0
Hidroclorotiazida_N2_2,164.0
Hidroclorotiazida_N3_1,155.0
Hidroclorotiazida_N3_2,156.0
Hidroclorotiazida_N4_1,188.0
Hidroclorotiazida_N4_2,183.0
Hidroclorotiazida_N5_1,180.0
Hidroclorotiazida_N5_2,183.0
Hidroclorotiazida_N6_1,179.0
Hidroclorotiazida_N6_2,165.0
Hidroclorotiazida_N7_1,168.0
Hidroclorotiazida_N7_2,165.0
Hidroclorotiazida_N8_1,173.0
Hidroclorotiazida_N8_2,170.0
Hidroclorotiazida_N9_1,183.0
Hidroclorotiazida_N9_2,186.0
Hidroclorotiazida_N10_1,167.0
Hidroclorotiazida_N10_2,168.0
Acetazolamida_N1_1,165.0
Acetazolamida_N1_2,158.0
Acetazolamida_N2_1,173.0
Acetazolamida_N2_2,173.0
Acetazolamida_N3_1,172.0
Acetazolamida_N3_2,173.0
Acetazolamida_N4_1,158.0
Acetazolamida_N4_2,160.0
Acetazolamida_N5_1,158.0
Acetazolamida_N5_2,160.0
Acetazolamida_N7_1,137.0
Acetazolamida_N7_2,144.0
Acetazolamida_N8_1,163.0
Acetazolamida_N8_2,166.0
Acetazolamida_N9_1,158.0
Acetazolamida_N9_2,160.0
Acetazolamida_N10_1,169.0
Acetazolamida_N10_2,170.0
Acetazolamida_N11_1,156.0
Acetazolamida_N11_2,157.0
Spironolactona_N1_1,161.0
Spironolactona_N1_2,140.0
Spironolactona_N8_1,121.0
Spironolactona_N8_2,143.0
Cafeina_N2_1,169.0
Cafeina_N2_2,168.0
Cafeina_N5_1,182.0
Cafeina_N5_2,180.0
Cafeina_N9_1,190.0
Cafeina_N9_2,193.0
Metronidazole_N1_1,175.0
Metronidazole_N1_2,183.0
Metronidazole_N2_1,171.0
Metronidazole_N2_2,176.0
Metronidazole_N3_1,164.0
Metronidazole_N3_2,184.0
Metronidazole_N4_1,140.0
Metronidazole_N4_2,169.53
Metronidazole_N5_1,153.0
Metronidazole_N5_2,169.0
Metronidazole_N6_1,167.0
Metronidazole_N6_2,162.0
Metronidazole_N7_1,169.0
Metronidazole_N7_2,155.0
Metronidazole_N8_1,162.0
Metronidazole_N8_2,166.0
Metronidazole_N9_1,176.0
Metronidazole_N9_2,177.0
Metronidazole_N10_1,148.0
Metronidazole_N10_2,142.0
Metronidazole_N11_1,160.0
Metronidazole_N11_2,184.0
Atenolol_N1_1,185.44
Atenolol_N1_2,177.82
Atenolol_N2_1,175.34
Atenolol_N2_2,173.17
Atenolol_N3_1,157.4
Atenolol_N3_2,167.44
Atenolol_N4_1,178.82
Atenolol_N4_2,177.82
Atenolol_N5_1,155.85
Atenolol_N5_2,145.87
Atenolol_N6_1,155.56
Atenolol_N6_2,152.09
Atenolol_N7_1,154.13
Atenolol_N7_2,147.23
Atenolol_N8_1,159.69
Atenolol_N8_2,157.74
Atenolol_N9_1,156.98
Atenolol_N9_2,153.34
Atenolol_N10_1,155.85
Atenolol_N10_2,145.87
Atenolol_N11_1,155.85
Atenolol_N11_2,145.87
Diclofenac_N2_1,152.0
Diclofenac_N2_2,173.0
Diclofenac_N4_1,151.0
Diclofenac_N4_2,162.0
Diclofenac_N5_1,162.0
Diclofenac_N5_2,156.0
